Tile,BSSID_M21,RSSI_M21,BSSID_Alok's A34,RSSI_Alok's A34,BSSID_Home 2.4GHz,RSSI_Home 2.4GHz
28,22:16:99:0F:90:F2,-61,62:08:98:8F:BF:C4,-52,5C:64:8E:D0:09:A5,-72
29,22:16:99:0F:90:F2,-53,62:08:98:8F:BF:C4,-68,5C:64:8E:D0:09:A5,-66
29,22:16:99:0F:90:F2,-60,62:08:98:8F:BF:C4,-62,5C:64:8E:D0:09:A5,-61
30,22:16:99:0F:90:F2,-63,62:08:98:8F:BF:C4,-59,5C:64:8E:D0:09:A5,-67
30,22:16:99:0F:90:F2,-62,62:08:98:8F:BF:C4,-57,5C:64:8E:D0:09:A5,-54
31,22:16:99:0F:90:F2,-53,62:08:98:8F:BF:C4,-63,5C:64:8E:D0:09:A5,-59
31,22:16:99:0F:90:F2,-52,62:08:98:8F:BF:C4,-65,5C:64:8E:D0:09:A5,-62
32,22:16:99:0F:90:F2,-60,62:08:98:8F:BF:C4,-59,5C:64:8E:D0:09:A5,-62
32,22:16:99:0F:90:F2,-49,62:08:98:8F:BF:C4,-53,5C:64:8E:D0:09:A5,-59
33,22:16:99:0F:90:F2,-63,62:08:98:8F:BF:C4,-49,5C:64:8E:D0:09:A5,-63
33,22:16:99:0F:90:F2,-48,62:08:98:8F:BF:C4,-63,5C:64:8E:D0:09:A5,-61
34,22:16:99:0F:90:F2,-61,62:08:98:8F:BF:C4,-59,5C:64:8E:D0:09:A5,-73
34,22:16:99:0F:90:F2,-54,62:08:98:8F:BF:C4,-54,5C:64:8E:D0:09:A5,-54
35,22:16:99:0F:90:F2,-67,62:08:98:8F:BF:C4,-64,5C:64:8E:D0:09:A5,-68
35,22:16:99:0F:90:F2,-52,62:08:98:8F:BF:C4,-55,5C:64:8E:D0:09:A5,-68
36,22:16:99:0F:90:F2,-53,62:08:98:8F:BF:C4,-54,5C:64:8E:D0:09:A5,-64
36,22:16:99:0F:90:F2,-51,62:08:98:8F:BF:C4,-52,5C:64:8E:D0:09:A5,-72
37,22:16:99:0F:90:F2,-53,62:08:98:8F:BF:C4,-54,5C:64:8E:D0:09:A5,-53
37,22:16:99:0F:90:F2,-58,62:08:98:8F:BF:C4,-55,5C:64:8E:D0:09:A5,-63
38,22:16:99:0F:90:F2,-55,62:08:98:8F:BF:C4,-58,5C:64:8E:D0:09:A5,-55
38,22:16:99:0F:90:F2,-59,62:08:98:8F:BF:C4,-59,5C:64:8E:D0:09:A5,-64
39,22:16:99:0F:90:F2,-72,62:08:98:8F:BF:C4,-67,5C:64:8E:D0:09:A5,-59
39,22:16:99:0F:90:F2,-58,62:08:98:8F:BF:C4,-60,5C:64:8E:D0:09:A5,-54
40,22:16:99:0F:90:F2,-60,62:08:98:8F:BF:C4,-55,5C:64:8E:D0:09:A5,-51
40,22:16:99:0F:90:F2,-51,62:08:98:8F:BF:C4,-57,5C:64:8E:D0:09:A5,-61
